pressure,enthalpy
1.347922821044921875e+02,3.196237182617187500e+02
1.280776519775390625e+02,3.150433349609375000e+02
1.211569824218750000e+02,3.011291503906250000e+02
1.199595870971679688e+02,2.987442016601562500e+02
1.201021804809570312e+02,3.008091125488281250e+02
1.203118057250976562e+02,3.015957336425781250e+02
1.228351821899414062e+02,3.018251342773437500e+02
1.215245895385742188e+02,2.987718200683593750e+02
1.220088043212890625e+02,2.991005859375000000e+02
1.220936813354492188e+02,2.993059082031250000e+02
1.222363662719726562e+02,2.993400878906250000e+02
1.223512268066406250e+02,2.988719787597656250e+02
1.225110321044921875e+02,2.978241271972656250e+02
1.226509704589843750e+02,2.980089416503906250e+02
1.226909561157226562e+02,2.981269531250000000e+02
1.227922210693359375e+02,2.982288818359375000e+02
1.226780471801757812e+02,2.968331298828125000e+02
1.229468231201171875e+02,2.952276916503906250e+02
1.231654968261718750e+02,2.950852050781250000e+02
1.233051834106445312e+02,2.950067138671875000e+02
1.234143218994140625e+02,2.949440612792968750e+02
1.276905059814453125e+02,2.984100952148437500e+02
1.291991882324218750e+02,3.090064086914062500e+02
1.288133087158203125e+02,3.083185424804687500e+02
1.287216186523437500e+02,3.068645935058593750e+02
1.282875213623046875e+02,3.062615356445312500e+02
1.233403701782226562e+02,3.028480834960937500e+02
1.210363159179687500e+02,2.955073547363281250e+02
1.217234115600585938e+02,2.964942016601562500e+02
1.216208953857421875e+02,2.978489685058593750e+02
1.217894668579101562e+02,2.981932983398437500e+02
1.223244323730468750e+02,2.985351867675781250e+02
1.259102325439453125e+02,3.142844848632812500e+02
1.245495300292968750e+02,3.135870056152343750e+02
1.248325653076171875e+02,3.107080993652343750e+02
1.245920791625976562e+02,3.103095092773437500e+02
1.245840759277343750e+02,3.105498046875000000e+02
1.274246139526367188e+02,3.143546447753906250e+02
1.255269317626953125e+02,3.125237121582031250e+02
1.251850662231445312e+02,3.119097595214843750e+02
1.250511550903320312e+02,3.118869934082031250e+02
1.270888519287109375e+02,3.124989929199218750e+02
1.346898803710937500e+02,3.178838195800781250e+02
1.309023284912109375e+02,3.154241027832031250e+02
1.308746795654296875e+02,3.143943176269531250e+02
1.311408843994140625e+02,3.144684448242187500e+02
1.346515655517578125e+02,3.189420471191406250e+02
1.377440032958984375e+02,3.298063659667968750e+02
1.361447143554687500e+02,3.279161682128906250e+02
1.364977569580078125e+02,3.269322509765625000e+02
1.369051361083984375e+02,3.273351440429687500e+02
1.360767364501953125e+02,3.256434326171875000e+02
1.320944671630859375e+02,3.100061950683593750e+02
1.328670501708984375e+02,3.121131286621093750e+02
1.337866668701171875e+02,3.132711486816406250e+02
1.338246612548828125e+02,3.128974304199218750e+02
1.309721679687500000e+02,3.149013366699218750e+02
1.288206024169921875e+02,3.087200012207031250e+02
1.294123382568359375e+02,3.096376647949218750e+02
1.291990966796875000e+02,3.098811645507812500e+02
1.292600250244140625e+02,3.097955627441406250e+02
1.269597473144531250e+02,3.146959838867187500e+02
1.254767913818359375e+02,3.124752807617187500e+02
1.254748306274414062e+02,3.121988525390625000e+02
1.250383682250976562e+02,3.123810424804687500e+02
1.250727310180664062e+02,3.125366821289062500e+02
1.237210998535156250e+02,3.106784973144531250e+02
1.228018646240234375e+02,3.066893615722656250e+02
1.234339141845703125e+02,3.068739318847656250e+02
1.235722045898437500e+02,3.072751464843750000e+02
1.237321929931640625e+02,3.073267211914062500e+02
1.305906524658203125e+02,3.068550720214843750e+02
1.284234008789062500e+02,3.052636108398437500e+02
1.285548095703125000e+02,3.051242370605468750e+02
1.283773193359375000e+02,3.050604858398437500e+02
1.283749389648437500e+02,3.050309753417968750e+02
1.259785766601562500e+02,3.075235595703125000e+02
1.243634490966796875e+02,3.109035644531250000e+02
1.252204818725585938e+02,3.114846496582031250e+02
1.255910644531250000e+02,3.121558837890625000e+02
1.256221618652343750e+02,3.126333312988281250e+02
1.258874053955078125e+02,3.126408386230468750e+02
1.310199432373046875e+02,3.059128417968750000e+02
1.295588226318359375e+02,3.057145996093750000e+02
1.294964599609375000e+02,3.058137817382812500e+02
1.297198791503906250e+02,3.058962097167968750e+02
1.334250488281250000e+02,3.087297058105468750e+02
1.385319671630859375e+02,3.207239074707031250e+02
1.373556823730468750e+02,3.202522277832031250e+02
1.365069732666015625e+02,3.177942199707031250e+02
1.365764312744140625e+02,3.171989746093750000e+02
1.409294586181640625e+02,3.210138549804687500e+02
1.379827117919921875e+02,3.194533996582031250e+02
1.382166748046875000e+02,3.190847778320312500e+02
1.382105407714843750e+02,3.192426757812500000e+02
1.381836547851562500e+02,3.193796691894531250e+02
1.290122833251953125e+02,3.134174194335937500e+02
1.253783264160156250e+02,3.028022460937500000e+02
1.246587142944335938e+02,3.012669677734375000e+02
1.251443328857421875e+02,3.033206481933593750e+02
1.255801086425781250e+02,3.036708679199218750e+02
1.308387451171875000e+02,3.155135192871093750e+02
1.311976013183593750e+02,3.279931030273437500e+02
1.323096008300781250e+02,3.279996948242187500e+02
1.318626251220703125e+02,3.250435485839843750e+02
1.324385375976562500e+02,3.248323974609375000e+02
1.339042205810546875e+02,3.236240844726562500e+02
1.318117980957031250e+02,3.110552673339843750e+02
1.320848388671875000e+02,3.119273986816406250e+02
1.315176239013671875e+02,3.126707153320312500e+02
1.319636535644531250e+02,3.123680419921875000e+02
1.375569610595703125e+02,3.138361511230468750e+02
1.441677551269531250e+02,3.162928771972656250e+02
1.407105560302734375e+02,3.150110778808593750e+02
1.398238983154296875e+02,3.141973876953125000e+02
1.400495910644531250e+02,3.141175231933593750e+02
1.423059844970703125e+02,3.274663085937500000e+02
1.446326599121093750e+02,3.329429931640625000e+02
1.438283996582031250e+02,3.310428771972656250e+02
1.438868103027343750e+02,3.302604370117187500e+02
1.440257568359375000e+02,3.303090820312500000e+02
1.437749938964843750e+02,3.325236816406250000e+02
1.459531860351562500e+02,3.382611999511718750e+02
1.456189270019531250e+02,3.380617675781250000e+02
1.458436737060546875e+02,3.382862548828125000e+02
1.459781494140625000e+02,3.387470397949218750e+02
