Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
152,159.069746029065,336.166527919112,0.03,0.03,223.333356530667,0.462314744228804,-7.37881442288413,-18.6772751074536,-18.6977541141522,-9.9685715884763,1,0.512323701111991,0.226187472782909,-1.01246946113441,0.000860084693520041,0
154,159.159963019663,336.144008065458,0.03,0.03,223.336312983854,0.462323818244401,-7.3788144228797,-18.6631592084504,-18.6836382164705,-9.89756613786499,1,0.497123295150322,0.226003343877022,-1.00829600065771,1.14857142357353e-06,2
156,159.189813500717,336.195274432701,0.03,0.03,223.337874497132,0.462327405782357,-7.37881442287656,-18.6584886208981,-18.6789676288572,-9.84748508118264,1,0.496609449072603,0.225923379282256,-1.00639104798436,3.34677760243186e-06,0
158,159.203246802537,336.227384452518,0.03,0.03,223.338667062978,0.462329425010135,-7.37881442287433,-18.6563867649534,-18.6768657728039,-9.81183005970689,1,0.496330803170229,0.22586853406274,-1.00406651754027,0.000162131541380154,0
160,159.211056926023,336.249506184886,0.0298477127144829,0.0298477127144829,223.351352073036,0.465151374081875,-7.33120215833845,-18.6552679293133,-18.6755405697228,-9.78558304196546,1,0.495419425938654,0.240324251240591,-0.870240514510168,1.48899681862837e-07,2
162,160.615024720573,338.530762460422,0.0295648934699513,0.0295648934699513,223.446819223838,0.478435581623149,-7.24277938133154,-18.4357862280537,-18.4556756128245,-9.71088860018176,1,0.495323621717309,0.219794304476701,-0.827214897437606,1.17851566249275e-06,2
164,160.763316616541,339.09395371186,0.0295648934699513,0.0295648934699513,223.457813114148,0.478444039900182,-7.24277938132841,-18.4125835787847,-18.4324729605057,-9.65781594917726,1,0.495643163597685,0.218929229506433,-0.818315703722099,3.80111237655784e-07,0
166,160.796380933091,339.229823100832,0.0295648934699513,0.0295648934699513,223.460370799737,0.478446745156202,-7.2427793813263,-18.407410135364,-18.4272995163149,-9.62154366211512,1,0.505029937529134,0.217841049520872,-0.814659598877686,0.00672627673299665,0
168,160.808330378213,339.272205926167,0.0295648934699513,0.0295648934699513,223.461225700356,0.478448258583313,-7.24277938132481,-18.4055404527059,-18.4254298334395,-9.59574755175901,1,0.499898110777767,0.217981668035835,-0.813892454518636,0.00440453193747109,0
170,160.813679920641,339.283904751655,0.0296063321870988,0.0296063321870988,223.458103604724,0.479080679448875,-7.28817512832465,-18.4046753536292,-18.4246208887113,-9.57652203484931,1,0.602184550865086,0.208428691284923,-0.905249289622935,2.08719296148704e-05,2
172,159.751259646818,337.747058162316,0.03,0.03,223.373068320026,0.491745624003755,-7.71943472483445,-18.5706413497804,-18.5911203512945,-9.68944227018277,1,0.49641947557522,0.216796024364481,-1.00314137905694,1.13440621888225e-07,0
